donors,mean,donations,in_state_donors_count,oo_state_donors_count,in_state_donations_amt,oo_state_donations_amt,name,org_id,office,district,CO_ID,party,jurisdiction,race_id,declared_year
14,246.42857142857142,14,5.0,9.0,490.0,111.11111111111111,"SMALLWOOD, JAMES",34823,Colorado Senate,Senate District 04,20165030199.0,Republican,STATEWIDE,741,2016.0
2,509.96,2,1.0,1.0,19.92,1000.0,"DAPPER, ROBERT",34471,COMMISSIONER,Commissioner Dist. 1,20165030247.0,Republican,ROUTT,1284,2016.0
27,260.9259259259259,35,18.0,9.0,269.1666666666667,244.44444444444446,"BECKMAN, SUSAN",37755,Colorado House,House District 38,20165030251.0,Republican,STATEWIDE,604,2017.0
27,260.9259259259259,35,18.0,9.0,269.1666666666667,244.44444444444446,"BECKMAN, SUSAN",34507,Colorado House,House District 38,20165030251.0,Republican,STATEWIDE,417,2016.0
4,57.0,4,3.0,1.0,69.33333333333333,20.0,"SULLIVAN, TOM",34593,Colorado Senate,Senate District 27,20165030312.0,Democratic,STATEWIDE,1080,2016.0
34,535.9417647058824,37,22.0,12.0,722.5918181818182,193.75,"SCHUTT, ROBERT",34542,Colorado House,House District 61,20165030380.0,Republican,STATEWIDE,1092,2016.0
34,535.9417647058824,37,22.0,12.0,722.5918181818182,193.75,"SCHUTT, ROBERT",35493,Colorado House,House District 61,20165030380.0,Republican,STATEWIDE,1136,2016.0
31,276.20483870967735,32,28.0,3.0,270.08392857142854,333.3333333333333,"COLEMAN, JAMES",34687,Colorado House,House District 07,20165030444.0,Democratic,STATEWIDE,905,2016.0
31,276.20483870967735,32,28.0,3.0,270.08392857142854,333.3333333333333,"COLEMAN, JAMES",36943,Colorado House,House District 07,20165030444.0,Democratic,STATEWIDE,3085,2017.0
2,20.700000000000003,4,1.0,1.0,31.400000000000006,10.0,"STORY, TAMARA",34844,Colorado House,House District 25,20165030509.0,Democratic,STATEWIDE,1783,2016.0
5,69.6,10,4.0,1.0,85.75,5.0,"WAGNER, SCOTT",37139,Colorado House,House District 43,20165031100.0,Unity Party,STATEWIDE,1164,2017.0
5,69.6,10,4.0,1.0,85.75,5.0,"WAGNER, SCOTT",35657,Colorado House,House District 43,20165031100.0,Democratic,STATEWIDE,2147,2016.0
5,69.6,10,4.0,1.0,85.75,5.0,"WAGNER, SCOTT",37726,Colorado House,House District 43,20165031100.0,Unity Party,STATEWIDE,1496,2017.0
5,69.6,10,4.0,1.0,85.75,5.0,"WAGNER, SCOTT",35675,Colorado House,House District 43,20165031100.0,Democratic,STATEWIDE,651,2016.0
4,131.5,4,3.0,1.0,158.66666666666666,50.0,"LEWIS, KIMMI",39273,Colorado House,House District 64,20165031225.0,Republican,STATEWIDE,1145,2017.0
4,131.5,4,3.0,1.0,158.66666666666666,50.0,"LEWIS, KIMMI",35868,Colorado House,House District 64,20165031225.0,Republican,STATEWIDE,606,2016.0
4,131.5,4,3.0,1.0,158.66666666666666,50.0,"LEWIS, KIMMI",35706,Colorado House,House District 64,20165031225.0,Republican,STATEWIDE,2404,2016.0
17,453.80176470588236,18,15.0,2.0,487.642,200.0,"CAREY, BRUCE",35758,District Attorney,District 05,20165031239.0,Republican,STATEWIDE,282,2016.0
99,191.44848484848487,101,90.0,9.0,196.88222222222223,137.11111111111111,"LEONARD, TIMOTHY",37729,Colorado House,House District 25,20165031308.0,Republican,STATEWIDE,1384,2017.0
99,191.44848484848487,101,90.0,9.0,196.88222222222223,137.11111111111111,"LEONARD, TIMOTHY",34493,Colorado House,House District 25,20165031308.0,Republican,STATEWIDE,1783,2016.0
15,506.6666666666667,15,7.0,8.0,885.7142857142857,175.0,"MORENO, DOMINICK",34783,Colorado Senate,Senate District 21,20165031320.0,Democratic,STATEWIDE,752,2016.0
15,506.6666666666667,15,7.0,8.0,885.7142857142857,175.0,"MORENO, DOMINICK",38836,Colorado Senate,Senate District 21,20165031320.0,Democratic,STATEWIDE,2764,2017.0
5,106.298,7,3.0,2.0,93.83,125.0,"SILVA, JOANNE",36876,Governor,,20165031879.0,Republican,STATEWIDE,41,2016.0
5,106.298,7,3.0,2.0,93.83,125.0,"SILVA, JOANNE",36856,Governor,,20165031879.0,Republican,STATEWIDE,3197,2016.0
783,892.4622860791826,983,711.0,72.0,965.2953727144867,173.23555555555555,"GINSBURG, NOEL",36883,Governor,,20165031883.0,Democratic,STATEWIDE,41,2016.0
264,198.1830681818182,477,229.0,35.0,204.36825327510917,157.71428571428572,"VALDEZ, ALEX",36895,Colorado House,House District 05,20175031887.0,Democratic,STATEWIDE,126,2017.0
5246,289.77947197865035,6794,2758.0,2488.0,205.50997461928935,383.19397106109324,"JOHNSTON, MICHAEL",36913,Governor,,20175031889.0,Democratic,STATEWIDE,41,2017.0
509,134.29471512770135,642,355.0,154.0,141.7812394366197,117.03681818181818,"BEATIE, AMY",36904,Colorado House,House District 04,20175031892.0,Democratic,STATEWIDE,468,2017.0
11,39.09090909090909,14,10.0,1.0,39.0,40.0,"LINSKI, CHRISTOPHER",36920,Colorado House,House District 15,20175031897.0,Democratic,STATEWIDE,1566,2017.0
